"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"ENSG00000106366",257.712927746898,0.0993818032321451,0.349772213409759,0.592780293052897,0.938355145664232,"SERPINE1"
"ENSG00000250462",7.87591618078549,0.0993402060637189,0.400645158981181,0.724308017335033,NA,NA
"ENSG00000213619",1933.85786406659,0.0992923943657958,0.111349519355357,0.185126816237144,0.738972441307499,"NDUFS3"
"ENSG00000004142",4264.88198168098,0.0992332554899341,0.104084504175241,0.720955348456259,0.964879758957696,"POLDIP2"
"ENSG00000215014",87.1705121642949,0.0992223236152806,0.238828546123366,0.397910694745845,0.8868456799847,NA
"ENSG00000157827",8103.40273887891,0.0992107570002424,0.0860079885349629,0.0318196296874186,0.395429950355893,"FMNL2"
"ENSG00000162664",4174.59175137675,0.0991932118829677,0.108295046283781,0.0131113284969024,0.265963379794661,"ZNF326"
"ENSG00000157933",7300.00841084832,0.0991877754064888,0.151476860024837,0.856260035522265,0.983726746915779,"SKI"
"ENSG00000168813",3713.94703264851,0.099181625091655,0.0890618280205065,0.0544463155682996,0.487349348385469,"ZNF507"
"ENSG00000067704",2583.97267197722,0.0990661259328278,0.0978357095135364,0.7422010501962,0.968268344892556,"IARS2"
"ENSG00000238039",8.35256012297651,0.0990440445602183,0.342644583194376,0.915522476412193,NA,NA
"ENSG00000087338",1206.56455898171,0.0990292602450767,0.176091939776372,0.200395161489771,0.756578319822748,"GMCL1"
"ENSG00000115486",1603.46446253678,0.0989773463030168,0.154915136680238,0.928372533362962,0.990037253611708,"GGCX"
"ENSG00000236456",6.2436387161543,0.0989628064506358,0.385914347035291,0.406014985065291,NA,NA
"ENSG00000197019",111.728935791806,0.0989359816882803,0.33743126925433,0.32011642406226,0.851528414348259,"SERTAD1"
"ENSG00000280169",9.90181665469817,0.0988847094180245,0.354973382311691,0.808361771969965,NA,NA
"ENSG00000120708",180.705358225755,0.098863713462077,0.33294575480993,0.909521337321412,0.988302719193762,"TGFBI"
"ENSG00000275185",25.0910628740248,0.0988377189845924,0.31755498617315,0.0667953833285505,NA,NA
"ENSG00000077152",1009.00565092129,0.0987875243977181,0.20439117722708,0.95329300515065,0.994155804820386,"UBE2T"
"ENSG00000270062",10.7249656453231,0.0987592951425408,0.340918932755696,0.51684877698937,NA,NA
"ENSG00000057657",59.4602222155889,0.0987300062775489,0.386158310085484,0.870007029292464,0.985012660242643,"PRDM1"
"ENSG00000104856",17.0917993569232,0.0987265526807072,0.400093304777492,0.629616113207223,NA,"RELB"
"ENSG00000204304",20089.2219369705,0.0986067040370746,0.162788454304746,0.503634985949461,0.915723608648623,"PBX2"
"ENSG00000242798",19.1403138428838,0.0985814516724219,0.32025556366123,0.00223604615884595,NA,NA
"ENSG00000259666",22.1081927938367,0.0985285744221687,0.335609686615572,0.617249905012181,NA,"LINGO1-AS1"
"ENSG00000239445",42.5051656841604,0.0985235312699405,0.334162011574645,0.122827538352525,NA,NA
"ENSG00000278075",8.97565560059135,0.098508117599485,0.370990691219672,0.165471858278598,NA,NA
"ENSG00000280273",37.1473145761625,0.0984227975878281,0.334351640481325,0.397791007083961,NA,NA
"ENSG00000158195",4037.48607907415,0.0984017999836497,0.233023399392221,0.941133828790389,0.991276144651707,"WASF2"
"ENSG00000065485",302.915586938518,0.0983563277738279,0.185498966329021,0.0520810976625692,0.48004088565802,"PDIA5"
"ENSG00000186777",96.4460772548277,0.0982903651953224,0.400895631099819,0.572356152312687,0.932519729688112,"ZNF732"
"ENSG00000067066",15.6477317216705,0.0982333771751792,0.380634374031963,0.633290378273631,NA,"SP100"
"ENSG00000162624",6.70463981629919,0.0981239467441449,0.396439550391963,0.399864578508165,NA,"LHX8"
"ENSG00000100811",9601.36943835207,0.0981180952195825,0.112255276506553,0.75649689810903,0.972827991408109,"YY1"
"ENSG00000101194",26.6236423004595,0.0980591611567862,0.363124764907763,0.740028990109787,NA,"SLC17A9"
"ENSG00000113761",2637.43903469054,0.0980468714046335,0.149644522455033,0.350975363964282,0.869630696450968,"ZNF346"
"ENSG00000167604",157.023328529497,0.0980362059109304,0.26802637116885,0.225571364878833,0.782481299362873,"NFKBID"
"ENSG00000266921",117.53528776481,0.0980359102474611,0.212578602761446,0.985686517211915,0.998583544009397,"ZNF230-DT"
"ENSG00000198939",584.702169313544,0.097981640395871,0.186850415231033,0.265122442791828,0.818007248498752,"ZFP2"
"ENSG00000270194",35.4734855521597,0.0979133311390118,0.290711877879704,0.551560921021289,NA,"GOLGA4-AS1"
"ENSG00000138675",184.570131243053,0.0979069601817135,0.334151194172994,0.626261705466759,0.943745201002563,"FGF5"
"ENSG00000162738",19997.0952085494,0.0978956501490933,0.139899519910007,0.954269452404432,0.994155804820386,"VANGL2"
"ENSG00000156413",34.4358493363635,0.097846665525974,0.384302399308356,0.298745747125053,NA,"FUT6"
"ENSG00000152219",2519.60662287338,0.0978282506838586,0.139049525787419,0.486294029215502,0.912891347063644,"ARL14EP"
"ENSG00000275645",46.9060811304238,0.0977327088651309,0.26168299816015,0.390531774671071,NA,NA
"ENSG00000101544",4659.21322759253,0.0976965964263262,0.142380437720782,0.860349485520995,0.984243545363471,"ADNP2"
"ENSG00000157036",1389.63463163725,0.0976718448801522,0.15974782790725,0.946789858453253,0.99252933967651,"EXOG"
"ENSG00000198838",723.951157223238,0.0976645704204929,0.293499453860837,0.165335000224676,0.718696400161398,"RYR3"
"ENSG00000105426",50050.9797702369,0.0974807945321437,0.154030628546634,0.0576069656650456,0.496131628246488,"PTPRS"
"ENSG00000124802",1352.30520465547,0.0973689802865395,0.121355328679756,0.302766720387091,0.844055043040987,"EEF1E1"
"ENSG00000134644",13003.2162875354,0.0973261318153021,0.121860355219484,0.882242269978673,0.986349092063333,"PUM1"
"ENSG00000260018",35.3447583483607,0.0973053217237979,0.309548298139192,0.804401671917258,NA,NA
"ENSG00000235897",13.2828097277392,0.0972838572283588,0.386745401817501,0.848884171881423,NA,"TM4SF19-AS1"
"ENSG00000082898",18765.6102288498,0.097282141745897,0.121796874720244,0.721626791554586,0.96491498830984,"XPO1"
"ENSG00000230204",12.1797211074522,0.097257832967791,0.3586895253322,0.272912531041775,NA,NA
"ENSG00000227953",67.3840970277566,0.0972250263002009,0.307398093156311,0.541773700048014,0.925963340025585,NA
"ENSG00000286830",16.4930651649809,0.0972212418272902,0.335138222598652,0.0536740248058626,NA,NA
"ENSG00000287655",10.8082737165722,0.0971973749250269,0.358152845135043,0.145582144094811,NA,NA
"ENSG00000103707",687.744376182099,0.0971910852122193,0.16835062116311,0.938069193726165,0.991073759089868,"MTFMT"
"ENSG00000100201",51983.0499513796,0.0971701536710933,0.108900016597156,0.0697589864993051,0.536632804978207,"DDX17"
"ENSG00000287202",8.24735447782923,0.0971503879730061,0.362325210104889,0.164599051561773,NA,NA
"ENSG00000104660",5552.94598151431,0.0971050295761758,0.162780809407168,0.925168664262106,0.989693057733479,"LEPROTL1"
"ENSG00000205403",46.3904572912502,0.0971006055134791,0.40361070930161,0.802448110924104,NA,"CFI"
"ENSG00000157181",1089.40183408047,0.0970742611900573,0.156451107637842,0.0227572439941701,0.340838137405824,"ODR4"
"ENSG00000273437",42.2869294512037,0.0970547412657999,0.303781112690437,0.4292584568469,NA,NA
"ENSG00000165898",1518.50495663171,0.0970323012535926,0.193121547475735,0.536784562163903,0.924063915025325,"ISCA2"
"ENSG00000164002",887.317404081633,0.0970315513825662,0.147256021796118,0.814328163409087,0.97925526773958,"EXO5"
"ENSG00000147813",612.634249520948,0.0969832835413044,0.294934696248762,0.275602318559212,0.824699778177823,"NAPRT"
"ENSG00000267871",46.1374448035895,0.096971818294409,0.313675193086203,0.626163437603551,NA,"ZNF460-AS1"
"ENSG00000286923",8.04258219958965,0.0968821143621572,0.398690427397559,0.694218519276028,NA,"LOC105375423"
"ENSG00000170264",1710.73685192041,0.0968799649940854,0.124732106037013,0.308359879181714,0.846103121388646,"FAM161A"
"ENSG00000211456",3001.89006602748,0.0968675075014982,0.167534584941562,0.941837048740323,0.991439295728834,"SACM1L"
"ENSG00000141574",133.987302352447,0.0968352938164459,0.355693158945059,0.484553662574621,0.912331220186608,"SECTM1"
"ENSG00000169570",545.796494733285,0.0968187013258875,0.162373855924089,0.0307072252185223,0.389069099711462,"DTWD2"
"ENSG00000124615",691.335159413759,0.0968111290811197,0.110371239590215,0.665500084143494,0.953537369757246,"MOCS1"
"ENSG00000269815",12.6410126640499,0.0967998928850126,0.361366401198245,0.428476858069927,NA,NA
"ENSG00000116209",8107.58295023907,0.0967986960174167,0.166854071746088,0.0135520307133521,0.268082037086215,"TMEM59"
"ENSG00000101327",645.082050553468,0.0967373739259831,0.293013124653077,0.80158393262153,0.976174815690162,"PDYN"
"ENSG00000255355",6.89805663008391,0.0966769599568959,0.386480485840316,0.890959272133738,NA,NA
"ENSG00000131944",161.408503483828,0.0966418042667133,0.246395756455597,0.434495651225839,0.898294242304494,"FAAP24"
"ENSG00000173156",11.9194391849453,0.0966245691005038,0.384657537491547,0.786496737179878,NA,"RHOD"
"ENSG00000279738",398.541600391318,0.0966178505124365,0.247430160469374,0.628032199052608,0.94411732717163,NA
"ENSG00000273456",154.585304518631,0.0965978551192692,0.24440511531195,0.58809623302031,0.938299375823364,NA
