"","gene_id","log2_RE_FC","Z_score"
"41334","ENSG00000253948",-1.01384647776295,1.5600549408386
"41335","ENSG00000253949",NA,NA
"41336","ENSG00000253951",NA,NA
"41337","ENSG00000253952",NA,NA
"41338","ENSG00000253953",0.179559532394586,-2.29867161372609
"41339","ENSG00000253954",Inf,NA
"41340","ENSG00000253955",NA,NA
"41341","ENSG00000253956",NA,NA
"41342","ENSG00000253957",NA,NA
"41343","ENSG00000253958",0.00987946258148513,-1.32484112960053
"41344","ENSG00000253959",NA,NA
"41345","ENSG00000253960",NA,NA
"41346","ENSG00000253961",NA,NA
"41347","ENSG00000253963",NA,NA
"41348","ENSG00000253964",NA,NA
"41349","ENSG00000253965",-0.243342700713803,0.694489488230985
"41350","ENSG00000253966",-1.39212330712565,-0.786532482460478
"41351","ENSG00000253967",NA,NA
"41352","ENSG00000253968",NA,NA
"41353","ENSG00000253970",NA,NA
"41354","ENSG00000253971",NA,NA
"41355","ENSG00000253972",NA,NA
"41356","ENSG00000253973",0.462477341286478,1.21843139905281
"41357","ENSG00000253974",1.01302827085691,-0.366013366990302
"41358","ENSG00000253975",NA,NA
"41359","ENSG00000253976",NA,NA
"41360","ENSG00000253977",NA,NA
"41361","ENSG00000253978",Inf,NA
"41362","ENSG00000253979",NA,NA
"41363","ENSG00000253980",NA,NA
"41364","ENSG00000253981",-0.891323623310007,0.718208441844679
"41365","ENSG00000253982",1.47664953189809,4.43859659260348
"41366","ENSG00000253983",NA,NA
"41367","ENSG00000253985",-Inf,-0.707106781186547
"41368","ENSG00000253986",NA,NA
"41369","ENSG00000253988",NA,NA
"41370","ENSG00000253989",NA,NA
"41371","ENSG00000253991",NA,NA
"41372","ENSG00000253992",NA,NA
"41373","ENSG00000253993",NA,NA
"41374","ENSG00000253994",NA,NA
"41375","ENSG00000253995",NA,NA
"41376","ENSG00000253997",NA,NA
"41377","ENSG00000253998",NA,NA
"41378","ENSG00000253999",NA,NA
"41379","ENSG00000254000",NA,NA
"41380","ENSG00000254001",NA,NA
"41381","ENSG00000254002",NA,NA
"41382","ENSG00000254003",-Inf,-0.988587345376134
"41383","ENSG00000254004",-0.359820769299573,-6.77608873814069
"41384","ENSG00000254006",NA,NA
"41385","ENSG00000254007",NA,NA
"41386","ENSG00000254008",NA,NA
"41387","ENSG00000254009",NA,NA
