,4_7_IP_S4_L004_R.sf,4_9_IP_S5_L004_R.sf,87_IP_S1_L004_R.sf,90_IP_S2_L004_R.sf,91_IP_S3_L004_R.sf,95_3_IP_S6_L004_R.sf
5_8S_rRNA,NA,NA,NA,NA,NA,NA
5S_rRNA,NA,NA,NA,NA,NA,NA
7SK,NA,NA,NA,NA,NA,NA
BACE1,1.22980936229353,1.26263238067658,1.22819164453557,1.4543663941877,1.4334288802889,1.26233106539633
BACE1-AS,0.411185496429482,0.432736596406093,0.479901007570108,NA,0.541339217690121,0.435998674070457
BACE2,0.544188776401143,0.483662361274121,1.23970226630262,0.740891651387192,NA,5.30583141727951
BACE2-IT1,NA,NA,NA,NA,NA,NA
BACH1,0.487863968307679,0.514818103304723,0.665426511892502,0.580740234653332,0.551546674814368,0.419123914189068
BACH1-AS1,NA,NA,NA,NA,NA,NA
BACH1-IT1,NA,NA,0.780846718155507,NA,NA,NA
BACH1-IT2,NA,NA,NA,NA,NA,NA
BACH1-IT3,NA,NA,NA,NA,0.432123719513131,NA
BACH2,0.806946375662476,1.63379328226314,1.0829263264053,0.9064282865177,0.998066807305262,1.43910066927439
BAD,3.97405524838028,4.612530934614,4.2398568558074,3.49808040546474,2.87851293507922,4.08382841146075
BAG1,3.95586278041557,4.32545676559323,2.72201116700022,2.60229127603803,3.19550477616192,3.9147519520664
BAG1P1,NA,NA,NA,NA,NA,NA
BAG2,1.35974757027913,0.702290765087355,0.93778412743342,1.23106934055026,1.07882367081627,1.22264860417348
BAG3,0.807641823571004,0.929790779397218,1.03358239756761,0.446391555552559,NA,0.607787453162842
BAG4,1.22808572735075,1.28201917870813,1.60419367392648,1.46622427581443,1.53871899539419,1.30907683510371
BAG5,1.19708167204038,1.19891515495984,1.34761063327155,1.32659827980144,1.36960711612434,1.12550578948129
BAG6,1.17421564834633,1.32312271306542,1.14841715095505,1.1644339622089,1.25174536946457,1.21618981179757
BAGE2,NA,NA,NA,NA,NA,NA
BAHCC1,0.673996880955726,0.55839453531881,0.467431650375007,0.467431650375007,0.717927600891749,0.542524840105802
BAHD1,0.886617867994754,0.909941022825391,0.974946230097252,0.761965950748555,0.763538505373799,0.83528085955319
BAIAP2,1.29509691372446,1.26626451791218,0.977959110707149,1.04525733061622,1.08849075048594,0.99416276900095
BAIAP2-DT,1.65106517044252,1.82479722299395,1.63946832879565,1.52537066248133,1.60852415473699,1.68817900500689
BAIAP2L1,0.833316206212334,0.960373394727726,1.32226921443611,0.850729879452938,0.936700990832839,0.714934669294247
BAIAP2L2,0.84955442801202,1.01965918156985,1.05449777950206,1.02372779329002,1.12304379250293,0.768192290170264
BAIAP3,NA,NA,NA,NA,NA,NA
BAK1,1.72536779039602,1.64755943938122,1.62354546682962,1.66502338408649,1.23106934055026,1.81069641480083
BAK1P1,NA,NA,NA,NA,NA,NA
BAK1P2,NA,NA,NA,NA,NA,NA
BALR6,NA,NA,NA,Inf,NA,Inf
BAMBI,1.59288751470177,2.09974194458079,0.996587914634663,1.49039330913066,1.97883102760522,1.76379851496292
BANCR,NA,NA,Inf,NA,0.946512233988303,Inf
BANF1,3.75217523128925,3.41643589368878,3.58904009190244,4.94316211681096,2.33265832584012,3.35236679702757
BANF1P1,NA,NA,NA,NA,NA,NA
BANF1P2,4.96255174192264,Inf,NA,NA,NA,NA
BANF1P3,NA,NA,NA,NA,NA,NA
BANF1P4,NA,NA,NA,NA,NA,NA
BANF1P5,NA,NA,NA,NA,NA,NA
BANF2,NA,NA,NA,NA,NA,NA
BANK1,NA,1.53075664581783,0.797917765908199,3.04415074274042,2.65817882809267,0.673239751297667
BANP,0.897009570886687,0.726963859752507,0.820191759248775,0.845957620304039,0.727304899623058,0.733912165928662
BAP1,1.81196130083957,1.84940317732561,1.49734137500869,1.53061801723271,1.59526693208923,1.6990430718096
BARD1,0.903368837016371,0.691886413302861,0.486145469522589,0.476252314757,0.458852553680709,0.629862847415284
BARHL1,NA,NA,1.77228802773762,2.69670083620102,2.68547194674536,NA
BARHL2,1.46370601673411,1.53535185304746,1.5004046138337,1.64543402280867,1.19925488921869,1.32334700431338
BARX1,1.6442489725586,Inf,2.30503009171012,0.792348549035052,1.46767552715819,NA
BARX1-DT,NA,NA,NA,NA,NA,NA
BARX2,0.957241165040653,NA,NA,NA,1.48643076393877,1.04004680852614
BASP1,2.05796105539606,1.75900090647948,2.36111975189278,2.47791299249711,2.78598868726212,1.86330386375933
BASP1-AS1,1.23381263098643,1.37301611580151,1.07129342136363,1.23633432541481,1.54115884311891,1.18108379560426
BASP1P1,NA,NA,NA,NA,NA,NA
BATF,NA,NA,NA,NA,NA,NA
BATF2,NA,Inf,0.791487622098605,NA,0.703377246455412,3.42174452083346
BATF3,3.79225885499609,3.30283978231504,1.77543382693313,3.55038588170809,3.3717653945486,2.7077857579433
BAX,1.69575798928468,2.15227541645709,2.00507050427563,1.84534061721906,1.24363732597329,2.06504574692762
BAZ1A,NA,0.406818871142089,0.436569909317221,NA,NA,NA
BAZ1A-AS1,1.62132135238462,2.30094112518217,1.32517135905609,1.48885991214254,1.82479722299395,1.86154110841908
BAZ1B,0.637367392045867,0.638020799531307,0.677339739766626,0.62104362700639,0.651699189105299,0.560356352514521
BAZ2A,0.46156021386899,0.459285690265276,0.523633734976679,0.51517101667513,0.679517895634863,0.412046417844444
BAZ2B,0.41448720844594,0.424093245191575,0.456967176607702,0.452741764826803,0.740346734321121,NA
BBC3,2.61941145070851,2.7913601327314,2.03175762595099,2.24233042823459,2.17897963075291,2.62282008072071
BBIP1,2.16856718492943,1.87252845093886,2.26480199383122,2.22691149956319,1.96601386053348,1.85606211462507
BBIP1P1,NA,NA,NA,NA,NA,NA
BBLN,3.53544744708837,4.34238801285004,4.10912928413437,3.17670906356051,2.89508657547743,3.57635298826557
BBOF1,1.3925354762744,1.87537166136732,1.98584104005056,2.05390667113413,1.94091450697797,1.5713478151076
BBOX1,0.955108495258867,1.41697179104913,1.00555095169337,2.3044738451481,NA,1.20136599902163
BBOX1-AS1,0.770523988645262,1.50546720538386,1.50939991778893,1.82789078062178,0.893104828320921,2.48487890422327
BBS1,0.470480449594882,0.430997138417068,0.449936457349781,0.420456049899175,NA,0.436514132273672
BBS10,1.02180267674461,0.925206472167732,0.863158705604176,1.24113418306854,1.1768325707843,1.00593783265072
BBS12,1.72920859546543,1.55955701578977,1.53373433243759,1.67564583740879,2.04645246730894,1.46121920406248
BBS2,0.651655240415403,0.610557888075923,0.646233124366014,0.502859534068368,0.594398394920355,0.54957750045856
BBS4,0.746960686580983,0.796883278264409,0.706634681193361,0.790064658757302,0.809945475476127,0.755459982458322
