"","gene_id","log2_RE_FC","Z_score","gene_name","gene_biotype"
"4174","DCAF6",-0.243322399406027,-8.16291590109192,NA,NA
"4175","NAP1L3",-0.213178961723507,-8.16819983576747,NA,NA
"4176","SLC7A14",-0.333993514785802,-8.1694603804423,NA,NA
"4177","ALG11",0.201162182396223,-8.17260423868264,NA,NA
"4178","ESPNP",0.319747503914109,-8.17327060778884,NA,NA
"4179","LRRIQ1",-0.307915839328822,-8.1754676931341,NA,NA
"4180","ENSG00000275769",-0.666638929034635,-8.18283810830294,NA,"lncRNA"
"4181","RALY-AS1",-0.467914590562807,-8.18412997693094,NA,NA
"4182","SNCAIP",-0.272271028888741,-8.19101437348487,NA,NA
"4183","LINC00641",-0.409743675122552,-8.19645600685386,NA,NA
"4184","RAB5C",-0.211211232537738,-8.19907979241535,NA,NA
"4185","VAT1L",-0.478755741360938,-8.19945406151441,NA,NA
"4186","SMARCA4",-0.226077758476439,-8.20038871080311,NA,NA
"4187","RAP1B",-0.350466396660963,-8.20397704739039,NA,NA
"4188","MLKL",-1.60826795391976,-8.20507541655421,NA,NA
"4189","NAP1L2",-0.411458283548183,-8.20516431372137,NA,NA
"4190","CHRM2",-0.340948431663992,-8.21639969837849,NA,NA
"4191","UBOX5",0.206847425645514,-8.21705282630221,NA,NA
"4192","GRIN2A",-0.249866569088225,-8.21778344723827,NA,NA
"4193","PTPRR",-0.312195401988453,-8.2182903348543,NA,NA
"4194","RAI2",-0.442435034442097,-8.22251005776975,NA,NA
"4195","KBTBD8",-0.337162303612212,-8.22518162424026,NA,NA
"4196","TOX3",-0.33223151380832,-8.22585042451183,NA,NA
"4197","CAPZB",-0.201822026632636,-8.22607106082777,NA,NA
"4198","MARCHF7",-0.214839488054097,-8.23296488361546,NA,NA
"4199","ENSG00000291100",-0.210516445086934,-8.23336040899624,NA,"lncRNA"
"4200","EMC9",0.388301072605094,-8.23451787094086,NA,NA
"4201","MTHFSD",0.221685334212805,-8.23520109145849,NA,NA
"4202","MRPL17",0.240458474764935,-8.23561953242649,NA,NA
"4203","VAV3",-0.320750730259938,-8.235942005179,NA,NA
"4204","SLC27A3",0.237529778784061,-8.23718731187298,NA,NA
"4205","ARRDC1-AS1",0.598843729126878,-8.23943272057748,NA,NA
"4206","ENSG00000260920",-0.31983829603889,-8.24465456529378,NA,"lncRNA"
"4207","AMACR",-0.392095467804157,-8.24475128268493,NA,NA
"4208","PRIMPOL",0.304333944708418,-8.25464361695476,NA,NA
"4209","C1QBP",-0.315337131011942,-8.26221789465265,NA,NA
"4210","ZNF267",-0.448634513131982,-8.26290503432996,NA,NA
"4211","CBFA2T2",-0.265795451335234,-8.26617877398597,NA,NA
"4212","MAGI2",-0.321051215844311,-8.27081357256148,NA,NA
"4213","NIPAL1",-0.236708143490245,-8.27353127732631,NA,NA
"4214","DGKK",-0.286625198753697,-8.28244934283927,NA,NA
"4215","NEUROD4",-0.297639203782216,-8.3034330418028,NA,NA
"4216","CDIPT",0.342721969531286,-8.30759413826678,NA,NA
"4217","ZNF85",-0.50490677317858,-8.30952406468005,NA,NA
"4218","GTDC1",-0.300798610855928,-8.31626540987081,NA,NA
"4219","KIF21B",-0.303706920460308,-8.31655192163566,NA,NA
"4220","YWHAE",-0.246094510494805,-8.31960518172726,NA,NA
"4221","CHTOP",0.400648302499933,-8.31961699615364,NA,NA
"4222","GNB5",-0.372492114772858,-8.32078480178952,NA,NA
"4223","SLC25A11",0.211658937738259,-8.32119130091628,NA,NA
"4224","ZNF793",-0.27734828650418,-8.3212312968561,NA,NA
"4225","PPP1R16B",-0.232390105075936,-8.322157117769,NA,NA
"4226","LRRTM3",-0.386831039811146,-8.32631970820542,NA,NA
"4227","RBM10",-0.295137962097754,-8.33872943177163,NA,NA
"4228","IRAK3",-0.478582396207556,-8.35167123079266,NA,NA
"4229","LRIG1",0.438476247763099,-8.35554715906945,NA,NA
"4230","FARP1",-0.243379538900908,-8.35557751336709,NA,NA
"4231","TRIQK",-0.264686262964258,-8.35756685857507,NA,NA
"4232","RPP30",0.285149905128448,-8.37278737850801,NA,NA
"4233","FOXJ3",-0.472071746546929,-8.37405892910201,NA,NA
"4234","WDR24",0.318005070345185,-8.39079287779375,NA,NA
"4235","PDE4B",-0.402882426918539,-8.39733078547574,NA,NA
"4236","LIN7A",-0.314801939323553,-8.39858642467363,NA,NA
"4237","CCDC92",-0.471161185938827,-8.39952704281465,NA,NA
